Name,Shop Code,Address,Pincode,Latitude,Longitude,Menu Items,Price,Category,Subcategory
Roastea - Curated Coffee And Tea Artisans,AMD-054-1," Alpha One Mall, Lake, Unit No F-08A & F-08B, First floor, near Vastrapur, Vastrapur, Ahmedabad, Gujarat 380054",380054,23.0400705,72.4954331,"Coffee, Tea, Sandwich",₹400 (Approx),Food,Continental
Shiva's Coffee Bar - Vastrapur,AMD-015-2," Shop No. 1, Sardar Centre, Lake, opp. Vastrapur, Nehru Park, Mahavir Nagar society, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pizza, Sandwich",₹400 (Approx),Food,Continental
Native Stories For Tomorrow @ IIMA Ventures,AMD-015-3," Shop No. 1, Sardar Centre, Lake, opp. Vastrapur, Nehru Park, Mahavir Nagar society, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pizza, Sandwich",₹400 (Approx),Food,Continental
Turquoise Villa Bistro & Café,AMD-015-4," Ground Floor, Shanay l, IIM Atira Road, near AMA, Ambawadi, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pizza, Pasta, Sandwich, Cappuccino, Shake",₹400 (Approx),Food,Continental
Tasty Street Cafe,AMD-015-5," MANAGEMENT ENCLAVE, Vastrapur Rd, Mahavir Nagar society, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Sandwich, Burger",₹400 (Approx),Food,Continental
Roastery Cultúr - The Coffee Company,AMD-015-6," MANAGEMENT ENCLAVE, Vastrapur Rd, Mahavir Nagar society, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Sandwich, Burger",₹400 (Approx),Food,Continental
Upri manzil - The Rooftop Restro Cafe,AMD-015-7," 10th Floor, Amrapali Lakeview Tower, A-1001, opp. Nexus Ahmedabad One, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pizza, Sandwich",₹400 (Approx),Food,Continental
Cafe Padmanabham,AMD-054-8," 12-C, Chinmay Crystal, Shop No: 12-A, 12-B, Lake, opp. Vastrapur, Vastrapur, Ahmedabad, Gujarat 380054",380054,23.0400705,72.4954331,"Coffee, Tea, Sandwich",₹400 (Approx),Food,Continental
Coffee Central,AMD-054-9," 1 Celler, Shaival Complex, nr. Arbindo Society, Vastrapur, Ahmedabad, Gujarat 380054",380054,23.0400705,72.4954331,"Coffee, Tea, Sandwich, Shake",₹400 (Approx),Food,Continental
COFFEE ByUs,AMD-015-10," G-05, Madhav complex, IIM Rd, opp. Kia motors showroom, University Area, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pasta, Sandwich, Burger",₹400 (Approx),Food,Continental
Crush Coffee - Vastrapur,AMD-052-11," Shop no:8, Vastrapur, Ahmedabad, Gujarat 380052",380052,23.0400705,72.4954331,"Coffee, Tea, Sandwich, Latte, Cappuccino, Shake",₹400 (Approx),Food,Continental
Sip Of Hope - The Coffee House,AMD-015-12," Super Plaza Complex, 15, Judges Bungalow Rd, opp. Akash Towers, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pizza, Pasta, Sandwich, Cappuccino",₹400 (Approx),Food,Continental
Kaffa Coffee Roasters,AMD-015-13," Kaffa Coffee Roasters oppo Atira, IIM Rd, near Apang Manav Mandal, Panjara Pol, Ambawadi, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pasta, Sandwich, Latte, Cappuccino",₹400 (Approx),Food,Continental
sandwichworkZ,AMD-015-14," Madhav Complex, 5 & 6, IIM Rd, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Sandwich, Cappuccino",₹400 (Approx),Food,Continental
"Sea Salt Cafe, IIM Ahmedabad",AMD-015-15," Madhav Complex, 5 & 6, IIM Rd, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Sandwich, Cappuccino",₹400 (Approx),Food,Continental
"Chai Sutta Bar, Vastrapur",AMD-015-16," Vastrapur Lake, -A, Sargam Marg, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pizza, Sandwich, Burger, Maggi",₹400 (Approx),Food,Continental
CAFE CLASSY FIED,AMD-015-17," Vastrapur Lake, -A, Sargam Marg, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pizza, Sandwich, Burger, Maggi",₹400 (Approx),Food,Continental
Tea Post,AMD-015-18," Vastrapur Lake, -A, Sargam Marg, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0400705,72.4954331,"Coffee, Tea, Pizza, Sandwich, Burger, Maggi",₹400 (Approx),Food,Continental
Caffix- The Tech Cafe,AMD-015-19," Vastrapur Lake, -A, Sargam Marg, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0449837,72.4625918,"Coffee, Tea, Pizza, Sandwich, Burger, Maggi",₹400 (Approx),Food,Continental
Tea post,AMD-015-20," Shop No 2, Ground Floor, Shilp Square, B Wing, Sunrise Park Road, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0452441,72.4941612,"Coffee, Tea, Sandwich",₹400 (Approx),Food,Continental
Upper Crust,AMD-015-21," Shop No 2, Ground Floor, Shilp Square, B Wing, Sunrise Park Road, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0452441,72.4941612,"Coffee, Tea, Sandwich",₹400 (Approx),Food,Continental
Little Coffee Deck,AMD-015-22," Shop No 2, Ground Floor, Shilp Square, B Wing, Sunrise Park Road, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0452441,72.4941612,"Coffee, Tea, Sandwich",₹400 (Approx),Food,Continental
Grace Coffee Co. Bodakdev,AMD-015-23," Shop No 2, Ground Floor, Shilp Square, B Wing, Sunrise Park Road, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0452441,72.4941612,"Coffee, Tea, Sandwich",₹400 (Approx),Food,Continental
The Messy Door Cafe - HL College Road,AMD-015-24," Shop No 2, Ground Floor, Shilp Square, B Wing, Sunrise Park Road, Vastrapur, Ahmedabad, Gujarat 380015",380015,23.0302762,72.5188695,"Coffee, Tea, Sandwich",₹400 (Approx),Food,Continental
Zen Cafe,AMD-015-25," Satellite Rd, beside Sundervan, Panchsheel Enclave, Jodhpur Village, Ahmedabad, Gujarat 380015",380015,23.0271407,72.5038085,"Coffee, Tea, Pizza, Pasta, Cappuccino",₹400 (Approx),Food,Continental
Java+,AMD-015-26," Courtyard Marriott, Satellite Rd, Ramdev Nagar, Ahmedabad, Gujarat 380015",380015,23.0271407,72.5038085,"Coffee, Tea, Pizza, Pasta, Cappuccino, Shake",₹400 (Approx),Food,Continental
Cafe En Route,AMD-015-27," Courtyard Marriott, Satellite Rd, Ramdev Nagar, Ahmedabad, Gujarat 380015",380015,23.0271407,72.5038085,"Coffee, Tea, Pizza, Pasta, Cappuccino, Shake",₹400 (Approx),Food,Continental
Street Cafe 34,AMD-015-28," Courtyard Marriott, Satellite Rd, Ramdev Nagar, Ahmedabad, Gujarat 380015",380015,23.0283547,72.4901158,"Coffee, Tea, Pizza, Pasta, Cappuccino, Shake",₹400 (Approx),Food,Continental
Coffee By Di Bella Arista,AMD-059-29," GF/4, Arista Business Hub, Sindhu Bhavan Marg, Bodakdev, Ahmedabad, Gujarat 380059",380059,23.0405444,72.489657,"Coffee, Tea, Pizza, Sandwich, Latte, Cappuccino, Shake",₹400 (Approx),Food,Continental
Crush Coffee - SG Highway,AMD-059-30," GF/4, Arista Business Hub, Sindhu Bhavan Marg, Bodakdev, Ahmedabad, Gujarat 380059",380059,23.0405444,72.489657,"Coffee, Tea, Pizza, Sandwich, Latte, Cappuccino, Shake",₹400 (Approx),Food,Continental
"Nothing Before Coffee - Sindhu Bhavan , Ahmedabad",AMD-059-31," GF 2/2, Elanza Vertex, Sindhubhavan Rd, near Zainobiya, Bodakdev, Ahmedabad, Gujarat 380059",380059,23.0405444,72.489657,"Coffee, Tea, Pizza, Sandwich, Latte, Paneer, Shake",₹400 (Approx),Food,Continental
Mocha Bodakdev,AMD-015-32," Ground Floor, Devashish Business Park, 6-9, Premchand Nagar Rd, opposite Krishna Complex, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0405444,72.489657,"Coffee, Tea, Pizza, Pasta, Sandwich, Burger, Cappuccino, Paneer, Shake",₹400 (Approx),Food,Continental
Cafe De Italiano,AMD-015-33," Ground Floor, Devashish Business Park, 6-9, Premchand Nagar Rd, opposite Krishna Complex, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0405444,72.489657,"Coffee, Tea, Pizza, Pasta, Sandwich, Burger, Cappuccino, Paneer, Shake",₹400 (Approx),Food,Continental
Momo Cafe,AMD-015-34," Courtyard By Marriott Satellite Road, Ramdev Nagar, Satellite, Ahmedabad, Gujarat 380015",380015,23.0277852,72.4941405,"Coffee, Tea, Pizza",₹400 (Approx),Food,Continental
"Cafe Baba Budan, Bodakdev Ahmedabad | Where Every Sip Tells a Story",AMD-015-35," Courtyard By Marriott Satellite Road, Ramdev Nagar, Satellite, Ahmedabad, Gujarat 380015",380015,23.0277852,72.4941405,"Coffee, Tea, Pizza",₹400 (Approx),Food,Continental
Pure Beans & Creams Cafe,AMD-015-36," Courtyard By Marriott Satellite Road, Ramdev Nagar, Satellite, Ahmedabad, Gujarat 380015",380015,23.0277852,72.4941405,"Coffee, Tea, Pizza",₹400 (Approx),Food,Continental
S S 2 CAFE,AMD-015-37," Courtyard By Marriott Satellite Road, Ramdev Nagar, Satellite, Ahmedabad, Gujarat 380015",380015,23.0285719,72.5113028,"Coffee, Tea, Pizza",₹400 (Approx),Food,Continental
"Ajay's Café - Anand Nagar, Ahmedabad",AMD-015-38," Courtyard By Marriott Satellite Road, Ramdev Nagar, Satellite, Ahmedabad, Gujarat 380015",380015,23.0285719,72.5113028,"Coffee, Tea, Pizza",₹400 (Approx),Food,Continental
The Chocolate Room Judges Bunglow,AMD-015-39," Courtyard By Marriott Satellite Road, Ramdev Nagar, Satellite, Ahmedabad, Gujarat 380015",380015,23.0134829,72.5084667,"Coffee, Tea, Pizza",₹400 (Approx),Food,Continental
A GOURMESSERIE - PRAHLAD NAGAR,AMD-015-40," Gf-2, Bayone Solutions, Regency Plaza, Prernatirth Derasar Rd, below Gloria Restaurant, Satellite, Ahmedabad, Gujarat 380015",380015,23.0137102,72.4991345,"Coffee, Tea, Pizza, Pasta, Latte",₹400 (Approx),Food,Continental
Ray Cafe,AMD-015-41," Gf-2, Bayone Solutions, Regency Plaza, Prernatirth Derasar Rd, below Gloria Restaurant, Satellite, Ahmedabad, Gujarat 380015",380015,23.0137102,72.4991345,"Coffee, Tea, Pizza, Pasta, Latte",₹400 (Approx),Food,Continental
Core The Coffee Shop,AMD-015-42," Gf-2, Bayone Solutions, Regency Plaza, Prernatirth Derasar Rd, below Gloria Restaurant, Satellite, Ahmedabad, Gujarat 380015",380015,23.0137102,72.4991345,"Coffee, Tea, Pizza, Pasta, Latte",₹400 (Approx),Food,Continental
Atrangi Cafe and Restaurant,AMD-015-43," Gf-2, Bayone Solutions, Regency Plaza, Prernatirth Derasar Rd, below Gloria Restaurant, Satellite, Ahmedabad, Gujarat 380015",380015,23.041516,72.509955,"Coffee, Tea, Pizza, Pasta, Latte",₹400 (Approx),Food,Continental
