Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,City,State,Images
The Berkeley Bistro + Bar,BOS-CHT-101,42.349171,-71.1085119,"350 Stuart St, Boston, MA 02116, United States",02116,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQIFGYjA9vw0ekqr16LBp01ISw4jB7lmyFZ973GS6-tMWr8c05rikFtipGyIEzUnAuENwaxgwOQHNvZwwHBWFpW46R2ufIdaDhaeOSnJNeZfcTI83BlBDbbecaB2XPzlUYPdIpvg_Zjwc-=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBAYJLeFdlB4XaXLCNxybYZkxNx-ckzP--A2_YsDsr-MZ7ey5qFphWF0gNakv40uqob5YRQ5gJbd82WeCSmnjwJO6CTqYdnCWRql7t1eXbFHlNU0P0f7lTS78PWluHSC0qqWxmd_R_KLzk=w114-h86-k-no
Tatte Bakery & Cafe | Charlestown,BOS-CHT-102,42.3732618,-71.0975749,"40 Warren St, Boston, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQIFGYjA9vw0ekqr16LBp01ISw4jB7lmyFZ973GS6-tMWr8c05rikFtipGyIEzUnAuENwaxgwOQHNvZwwHBWFpW46R2ufIdaDhaeOSnJNeZfcTI83BlBDbbecaB2XPzlUYPdIpvg_Zjwc-=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBAYJLeFdlB4XaXLCNxybYZkxNx-ckzP--A2_YsDsr-MZ7ey5qFphWF0gNakv40uqob5YRQ5gJbd82WeCSmnjwJO6CTqYdnCWRql7t1eXbFHlNU0P0f7lTS78PWluHSC0qqWxmd_R_KLzk=w114-h86-k-no
Tradesman Coffee Shop & Pizza Bar,BOS-CHT-103,42.3732618,-71.0975749,"50 Hood Park Dr, Boston, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Cmelatte Cafe,BOS-CHT-104,42.3732618,-71.0975749,"197 8th St, Boston, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Pixlcat Coffee & Butter Mochi,BOS-CHT-105,42.3732618,-71.0975749,"32 Cambridge St, Charlestown, MA 02129, United States",02129,Boston,MA,
emmi bakery & cafe,BOS-CHT-106,42.3732618,-71.0975749,"100 City Square, Boston, MA 02129, United States",02129,Boston,MA,
Anna's Cafe,BOS-CHT-107,42.3732618,-71.0975749,"275 Medford St, Charlestown, MA 02129, United States",02129,Boston,MA,
Constitution Cafe,BOS-CHT-108,42.3732618,-71.0975749,"300 1st Ave, Charlestown, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweraFBNCVzmJtrr6JGwSe_rIb_SM4pgGed_JNg_V9CPhjhzyPjeYkJM7m1T_VgfZYLHoFMFGtLAI5i7GDCqhMtNydAxAtJr_Dh09SP6N1I40K8VhNO1l0S12Cg1v2s3gnCgcceVE=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBAYJLeFdlB4XaXLCNxybYZkxNx-ckzP--A2_YsDsr-MZ7ey5qFphWF0gNakv40uqob5YRQ5gJbd82WeCSmnjwJO6CTqYdnCWRql7t1eXbFHlNU0P0f7lTS78PWluHSC0qqWxmd_R_KLzk=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Sunnyside All Day Brunch Cafe,BOS-CHT-109,42.3732618,-71.0975749,"100 Hood Park Dr, Boston, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepkX1PhgvafZ8mDA18t3EdhXuNqihj9hk-0LoZZ3iMgduTwk_1TK7udLXPPLVsBbPJX_RhT4IYaMlQqHZLnQjdSCqSUd-VPQuP1tG9Ro2GE1BsjyV00wrJtPh-to9Iw3B5yUfLr3x2NMUi0=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweraFBNCVzmJtrr6JGwSe_rIb_SM4pgGed_JNg_V9CPhjhzyPjeYkJM7m1T_VgfZYLHoFMFGtLAI5i7GDCqhMtNydAxAtJr_Dh09SP6N1I40K8VhNO1l0S12Cg1v2s3gnCgcceVE=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
La Saison Bakery,BOS-CHT-110,42.3732618,-71.0975749,"221 Main St, Charlestown, MA 02129, United States",02129,Boston,MA,
Starbucks,BOS-CHT-111,42.3732618,-71.0975749,"1 Thompson Square, Boston, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepaqG72WsKqf3d6X7unsG8-U_PfTnFJPwqqD4YwKGMTPw5q_VqXuv_VT2oZTR7t99wNBjJ79CwcoDHqxnt-IUBQ34a7PBc3gHUsewaitYFGzI2E4mk0oTFna0CAax1uf9kCigNuOKMOOaYD=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerYG1hj5HhfUdlmdInyteYRh9oKYgH5JHfprPZomVkEr7hJH1bLwzxoO554amkfy_w_mELAjIqxm9b2HqRmF_LCxxUaVX2GPMMR8vQV3zG76HcwbN6NBm0gCfOqx-X91_YE7UUYRDKQJ06C=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
PHIN COFFEE HOUSE - Financial District,BOS-CHT-112,42.353538,-71.0926995,"10 High St, Boston, MA 02110, United States",02110,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodsnLNrCK4BG8xiSC7gSC2q_JL2yFOiIERIGWLIHKcZuRRTEGjEkbPhM1BxxNceatHMaBXQ_JleimFGYN0oPB8WbatAJ4SuWZfnhjC6S4BwT29Pus6RFlo7cPj6UrM-MMt3ekSuQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepaqG72WsKqf3d6X7unsG8-U_PfTnFJPwqqD4YwKGMTPw5q_VqXuv_VT2oZTR7t99wNBjJ79CwcoDHqxnt-IUBQ34a7PBc3gHUsewaitYFGzI2E4mk0oTFna0CAax1uf9kCigNuOKMOOaYD=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
The Well Coffee House,BOS-CHT-113,42.353538,-71.0926995,"173 Border St, East Boston, MA 02128, United States",02128,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodsnLNrCK4BG8xiSC7gSC2q_JL2yFOiIERIGWLIHKcZuRRTEGjEkbPhM1BxxNceatHMaBXQ_JleimFGYN0oPB8WbatAJ4SuWZfnhjC6S4BwT29Pus6RFlo7cPj6UrM-MMt3ekSuQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Thinking Cup,BOS-CHT-114,42.3742508,-71.0760291,"236 Hanover St, Boston, MA 02113, United States",02113,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoeeFpI9nF8T4HBkR4wFeca1Nz9PzFKfAiMav6viExnGgNrkqsdbR9E2wqfr9-zS8XBKq_P43U5NDeBm-9zfTBWdB3Z8YND-OA4fKNwLTS6oBB3dR-afbPqFCfybyaQKvH_XTjw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Tradesman Coffee Shop and Lounge,BOS-CHT-115,42.3742508,-71.0760291,"58 Batterymarch St, Boston, MA 02110, United States",02110,Boston,MA,
Bitty & Beau's Coffee,BOS-CHT-116,42.3728164,-71.1086141,"350 Water St, East Cambridge, MA 02141, United States",02141,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerusPEq_3xUYVun7POOchQuzWktYlPo0qcxIQNG9DMeAguB9vP8KZ_UB6l3AZqCGPAoIbWqmZlFLLsPZqGZjog9g6V-jRaY3io4JC179_3G7dqAg2a1b5AdvLaFx9hG4MvYIgw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Caffè dello Sport,BOS-CHT-117,42.3728164,-71.1086141,"308 Hanover St, Boston, MA 02113, United States",02113,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-1CnhXXMEcuPB-_mtVf0Dez-ry0KLxk6jWk8bgEsNPQ6CyvH7aeHwPHGo6W5cFCWS8j41kqN7qxK8zd5GUYd-Tsk_9vJ1n9BD0A7QR3i8gdf9Gu4f5PhSfANxwOxqFX0oDfvDtQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Dunkin',BOS-CHT-118,42.3728164,-71.1086141,"99 Cambridge St, Charlestown, MA 02129, United States",02129,Boston,MA,
Longwood Galleria Food Court,BOS-CHT-119,42.338473,-71.1431509,"400 Brookline Ave, Boston, MA 02215, United States",02215,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpeIxeIUc2LDDRvV6H2VEFWHeNiNhBvodr7nEcX3LR4hE8qb1W4kEPoZnhyCchBJ50dWuvIq0IOC5jtsT38iZvEqNSMVYEfbLQ9jTBfafzQ8cpwpkiHL6imYcyEc50LKfBFpwjug=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqkdBU5nEN1osjJFVbvrCx0GpzTgZnNb4GJVcUi7zYTK-DHfALP2CStDj2qgJlmW09yvIarDRurI2hHaRIXh8v3-Gbp19zwuKDoHxNxzvPhh4RSFbuTj6KMPVExrtzis5oN9uGW=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
