Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images
Viza Cafe,BOS-JP-101,42.306051,-71.1507574,"114 South St, Boston, MA 02130, United States",02130,
Cafe Siete,BOS-JP-102,42.306051,-71.1507574,"7 Pond St, Boston, MA 02130, United States",02130,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w129-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoZe0TTRLu1xnGch7s6KqZ1Gyo5tvXvw1kJzQwe5kCnTdZqXBHZaG20fDG7NZi-vGoHZL44MYS_wAFIKmMYIRnM9pt-iCxmNDway7u3HgBXYvseflr1M3zKphy3yf_IZFkWJQ1rHw=w114-h86-k-no
Caffè Nero,BOS-JP-103,42.306051,-71.1507574,"733 Centre St, Jamaica Plain, MA 02130, United States",02130,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w129-h86-k-no
Jadu Cafe and Wine Bar,BOS-JP-104,42.306051,-71.1507574,"767 Centre St, Jamaica Plain, MA 02130, United States",02130,
Yely's Coffee Shop,BOS-JP-105,42.3227855,-71.1380991,"284 Centre St, Jamaica Plain, MA 02130, United States",02130,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqP3THcp-KVgUH6lWYwaunBaZ17Aj9dSwH8_3ieLIg6X9YmFYDhdJiNtmgJdvVShrQbEBI7gdo0EDRYEogYa6pCgqAiyamZryXWS98jOxIPnDV5FI-Ipg5p_i6zhNBRXlWO38knzWL4Yo=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w129-h86-k-no
Evergreen Eatery & Cafe,BOS-JP-106,42.3227855,-71.1380991,"154 Green St, Jamaica Plain, MA 02130, United States",02130,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepuPz3uVDk-OT7xNwMUroV4BXUxLz_yXEVaCfbdPmx_vJzYlFziVLsph8t4OhYD6luIKBtAKaFdYxHBWcX7-XiJZuhA3XdsT_9b60---BclcmoD5XXBF79_tqh6zx5Eq6QEqWR-=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoP1SrgUrpp5lJuF9HDybR0GFN8KoJfvY-y_fu8OCeJrF79CnvPjb_du9yr5vlLu8eAYIXcCP1n_I172epHZA10MMJSrkAPmWVdHKkR-gY1MQTuNs-XUvY2AFxKlVnrGkXN0u_pzQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w129-h86-k-no
Cafe La Paz,BOS-JP-107,42.3227855,-71.1380991,"101 S Huntington Ave, Boston, MA 02130, United States",02130,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepuPz3uVDk-OT7xNwMUroV4BXUxLz_yXEVaCfbdPmx_vJzYlFziVLsph8t4OhYD6luIKBtAKaFdYxHBWcX7-XiJZuhA3XdsT_9b60---BclcmoD5XXBF79_tqh6zx5Eq6QEqWR-=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoP1SrgUrpp5lJuF9HDybR0GFN8KoJfvY-y_fu8OCeJrF79CnvPjb_du9yr5vlLu8eAYIXcCP1n_I172epHZA10MMJSrkAPmWVdHKkR-gY1MQTuNs-XUvY2AFxKlVnrGkXN0u_pzQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w129-h86-k-no
Brassica Kitchen + Cafe,BOS-JP-108,42.3002616,-71.1491263,"3712 Washington St, Jamaica Plain, MA 02130, United States",02130,
Cafe Selah,BOS-JP-109,42.3002616,-71.1491263,"613 Centre St, Jamaica Plain, MA 02130, United States",02130,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo3ATiOobdYEyh-7QvH83-X6laG01sJqwRTc3ZTLK1bS88oRSmUcV8IrV7YWNs-y0H-Wabw-9dSHNGBgYQIQmD-e-l3wvNlS0sxjbiZhhgFlA_Yrdp-OdakdHOJsHuglj1JTucMNg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerlG5kWOSFHHbRUj8NQ5NdIvC7C0ciOQPzfq9TTNVMDdKl4Ea1p7XMgdoZrJne-_qdNrB9N9oYMzGKm665JI8IwTE-mp8hQtqANyEeJgLuC33GdTIrQWR3oFp4TGpEg2hJOfUg7R1F0TMd3=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w129-h86-k-no
Solid Ground Cafe,BOS-JP-110,42.3336876,-71.1415089,"742 Huntington Ave, Boston, MA 02115, United States",02115,
Green T Coffee Shop - Rozzie,BOS-JP-111,42.2889392,-71.1699861,"873 South St, Roslindale, MA 02131, United States",02131,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6OZFamkxckp10oM2Z6cIMuMI0whunT8b8gnzihjxEnPvEkPyWooV70d3qqMZ_KgTbS5CNVdl_e3o3r1M4H6pct3K_Z6C41J8vyv3S_122hxl9CtKbfQC-r9-Ft-9Ja8MaAS0=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepGddHoPc9zjqDxveSpXGFheTB2Qj2uTPVjspB1bTmAB_i7J_O_DUxjbAhso_gxHoy13wanAhoSrZegL3PKkiib1PjpzN-Hj5kl3j49IriUovwevdSVHvnh1t9WRFTDLt3Q-qeXSjlshnu_=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w129-h86-k-no
Madhouse Cafe,BOS-JP-112,42.3242702,-71.1114927,"24 Blue Hill Ave, Boston, MA 02119, United States",02119,
Life Alive Organic Cafe Jamaica Plain,BOS-JP-113,42.3197804,-71.1479894,"435 S Huntington Ave, Jamaica Plain, MA 02130, United States",02130,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqGLo8wOSvEiGoZT4bNwSYrhX7-RJ_4o_zjIxlsaURp_jdnXk6zJapRgdm5oCxFquaTj19hWTGARWK76JHCoLCdvJNhIdJkdMbisG0f4HLiZO_-DuH-6E89_eK0n-HFZl48XBxs=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w129-h86-k-no
Esthetic Bean Coffee Shop,BOS-JP-114,42.3295392,-71.0924091,"16 Preble St, South Boston, MA 02127, United States",02127,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKNuHNH6Z_ZXbnNw9ggid1m6BEH4rEbd97hgeCTRodKgFyk-TJLao_4OrY8HkQn0cu3neapFBBdhuO157Or0C4xB4kR1vrJIwnI66rnuXb8lZ678ng8nzi75CkeoIqR1cqmmU=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqGLo8wOSvEiGoZT4bNwSYrhX7-RJ_4o_zjIxlsaURp_jdnXk6zJapRgdm5oCxFquaTj19hWTGARWK76JHCoLCdvJNhIdJkdMbisG0f4HLiZO_-DuH-6E89_eK0n-HFZl48XBxs=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXc-XILiNherrqUVsBhQFtpqHHZ5j5yptzpGx-ihTbElJZkSGkBz2GyL9W5VR37OV3MEdy6Y_93Hrw4Ovo0YxYPOvnqkkKqq0wert3a4j3ok6bLDhANXS_ebapOqeQzmZ14Nx7K44kkDPb=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZyR_4bAGvABw0HVsGrlYsDBaGvpMMDJQW-W2XN_vxgnpnK0Ooqup4Lm60Xp-6ItaKyF3NsjaRLQQ4Pm7nmhA4sU5bGIh3q_Mp7Q6cRcoLrstg06-aNrRs9-_S6fAeJ60kXZIO8A=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBe_7IYROLASuwAnp2NcelTI9TfuDjQ_XUAFc1PMMWyF1s6bkXEqBjBVInIPFAfKtE8d00b6A4tBAnIZEU-M6s8Jc4ILFnhwIW_kw1YQtxv_q7E0_vvTI5ZZe9Hov4cqAyt2Rm=w129-h86-k-no
