Name,Address,Shop Code,Pincode,Taste,Category,Subcategory,Latitude,Longitude
Results,"
Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-1,380009,Sweet,Cafe,Coffee Shop,23.04792,72.5377226
Results,"
Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-2,380009,Sweet,Cafe,Coffee Shop,23.04792,72.5377226
Results,"
Ln near Bank Of Baroda 10, near Bank Of Baroda, Sarela Society, Hollywood Basti, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-3,380009,Standard,Cafe,Coffee Shop,23.04792,72.5377226
Results,"
Ln near Bank Of Baroda 10, near Bank Of Baroda, Sarela Society, Hollywood Basti, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-4,380009,Standard,Cafe,Coffee Shop,23.04792,72.5377226
Results,"
Ln near Bank Of Baroda 10, near Bank Of Baroda, Sarela Society, Hollywood Basti, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-5,380009,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Kaffa Coffee Roasters oppo Atira, IIM Rd, near Apang Manav Mandal, Panjara Pol, Ambawadi, Ahmedabad, Gujarat 380015",AHM-015-6,380015,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Kaffa Coffee Roasters oppo Atira, IIM Rd, near Apang Manav Mandal, Panjara Pol, Ambawadi, Ahmedabad, Gujarat 380015",AHM-015-7,380015,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Falgun Society, Near, Commerce Six Rd, Roop Nagar, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-8,380009,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Shop No 3, Umashankar Joshi Marg, near Telephone Exchange, Sardar Patel Nagar, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-9,380009,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Shop No 3, Umashankar Joshi Marg, near Telephone Exchange, Sardar Patel Nagar, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-10,380009,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Umashankar Joshi Marg, near Girish Cold Drinks, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380006",AHM-006-11,380006,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Umashankar Joshi Marg, near Girish Cold Drinks, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380006",AHM-006-12,380006,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Brew Brothers, Commerce Six Rd, opp. TGB Bakery, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-13,380009,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Ground floor, Shop no 1, Gala Business Centre, 2, HL college Road, near Reliance fresh, Navrangpura, Ahmedabad, Gujarat 380006",AHM-006-14,380006,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Ground floor, Shop no 1, Gala Business Centre, 2, HL college Road, near Reliance fresh, Navrangpura, Ahmedabad, Gujarat 380006",AHM-006-15,380006,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Ground floor, Shop no 1, Gala Business Centre, 2, HL college Road, near Reliance fresh, Navrangpura, Ahmedabad, Gujarat 380006",AHM-006-16,380006,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Ground floor, Shop no 1, Gala Business Centre, 2, HL college Road, near Reliance fresh, Navrangpura, Ahmedabad, Gujarat 380006",AHM-006-17,380006,Standard,Cafe,Coffee Shop,23.0300246,72.5041433
Results,"
Ground floor, Shop no 1, Gala Business Centre, 2, HL college Road, near Reliance fresh, Navrangpura, Ahmedabad, Gujarat 380006",AHM-006-18,380006,Standard,Cafe,Coffee Shop,23.0673749,72.5254764
Results,"
L-16, Swatantra Senani Nagar, Naranpura, Ahmedabad, Gujarat 380013",AHM-013-19,380013,Sweet,Cafe,Coffee Shop,23.0673749,72.5254764
Results,"
L-16, Swatantra Senani Nagar, Naranpura, Ahmedabad, Gujarat 380013",AHM-013-20,380013,Sweet,Cafe,Coffee Shop,23.0673749,72.5254764
Results,"
Falgun Society, Near, Commerce Six Rd, Roop Nagar, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-21,380009,Standard,Cafe,Coffee Shop,23.0405582,72.516996
Results,"
Falgun Society, Near, Commerce Six Rd, Roop Nagar, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-22,380009,Standard,Cafe,Coffee Shop,23.0449837,72.4625918
Results,"
Falgun Society, Near, Commerce Six Rd, Roop Nagar, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",AHM-009-23,380009,Standard,Cafe,Coffee Shop,23.0449837,72.4625918
Results,"
GF/4, Arista Business Hub, Sindhu Bhavan Marg, Bodakdev, Ahmedabad, Gujarat 380059",AHM-059-24,380059,Standard,Cafe,Coffee Shop,23.0449837,72.4625918
Results,"
Shivalik business centre, Rajpath Rangoli Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059",AHM-059-25,380059,Standard,Cafe,Coffee Shop,23.0449837,72.4625918
Results,"
Shivalik business centre, Rajpath Rangoli Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059",AHM-059-26,380059,Standard,Cafe,Coffee Shop,23.0449837,72.4625918
Results,"
Shivalik business centre, Rajpath Rangoli Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059",AHM-059-27,380059,Standard,Cafe,Coffee Shop,23.0449837,72.4625918
Results,"
Shivalik business centre, Rajpath Rangoli Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059",AHM-059-28,380059,Standard,Cafe,Coffee Shop,23.0318227,72.519177
Results,"
Shivalik business centre, Rajpath Rangoli Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059",AHM-059-29,380059,Standard,Cafe,Coffee Shop,23.0318227,72.519177
Results,"
Shivalik business centre, Rajpath Rangoli Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059",AHM-059-30,380059,Standard,Cafe,Coffee Shop,23.0318227,72.519177
Results,N/A,GAN-N/A-1,N/A,Standard,Cafe,Coffee Shop,23.2075498,72.6355278
Results,"
Shop No 11, Podar International, Siddhraj Z Square , Tower West, School Road, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-2,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop No 11, Podar International, Siddhraj Z Square , Tower West, School Road, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-3,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop No 11, Podar International, Siddhraj Z Square , Tower West, School Road, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-4,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop No 11, Podar International, Siddhraj Z Square , Tower West, School Road, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-5,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop No 11, Podar International, Siddhraj Z Square , Tower West, School Road, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-6,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop No 11, Podar International, Siddhraj Z Square , Tower West, School Road, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-7,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no. 1,2,3, near VTC Complex, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-8,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no. 1,2,3, near VTC Complex, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-9,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no. 1,2,3, near VTC Complex, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-10,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no. 1,2,3, near VTC Complex, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-11,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no. 1,2,3, near VTC Complex, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-12,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no. 1,2,3, near VTC Complex, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-13,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no. 1,2,3, near VTC Complex, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-14,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no. 1,2,3, near VTC Complex, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-15,382419,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no 14 pramukh avenue nr burger king kudasan gandhinagar Gujarat 382321, Gandhinagar, Gujarat 382419",GAN-321-16,382321,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no 14 pramukh avenue nr burger king kudasan gandhinagar Gujarat 382321, Gandhinagar, Gujarat 382419",GAN-321-17,382321,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no 14 pramukh avenue nr burger king kudasan gandhinagar Gujarat 382321, Gandhinagar, Gujarat 382419",GAN-321-18,382321,Standard,Cafe,Coffee Shop,23.175127,72.5575252
Results,"
Shop no 14 pramukh avenue nr burger king kudasan gandhinagar Gujarat 382321, Gandhinagar, Gujarat 382419",GAN-321-19,382321,Standard,Cafe,Coffee Shop,23.258063,72.5771767
Results,"
Samarpan Circle, KH 7 Dharm Cir, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",GAN-028-20,382028,Standard,Cafe,Coffee Shop,23.258063,72.5771767
Results,"
Samarpan Circle, KH 7 Dharm Cir, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",GAN-028-21,382028,Standard,Cafe,Coffee Shop,23.258063,72.5771767
Results,"
Samarpan Circle, KH 7 Dharm Cir, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",GAN-028-22,382028,Standard,Cafe,Coffee Shop,23.1648628,72.6099441
Results,"
Samarpan Circle, KH 7 Dharm Cir, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",GAN-028-23,382028,Standard,Cafe,Coffee Shop,23.2285488,72.5756681
Results,"
Samarpan Circle, KH 7 Dharm Cir, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",GAN-028-24,382028,Standard,Cafe,Coffee Shop,23.2285488,72.5756681
Results,"
Samarpan Circle, KH 7 Dharm Cir, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",GAN-028-25,382028,Standard,Cafe,Coffee Shop,23.1769648,72.5562932
Results,"
Shop No 15, Keshav Aaradhyam, Prominent Hotel Rd, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-26,382419,Standard,Cafe,Coffee Shop,23.1769648,72.5562932
Results,"
Shop No 15, Keshav Aaradhyam, Prominent Hotel Rd, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-27,382419,Standard,Cafe,Coffee Shop,23.2504957,72.5664551
Results,"
Shop No 15, Keshav Aaradhyam, Prominent Hotel Rd, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-28,382419,Standard,Cafe,Coffee Shop,23.2504957,72.5664551
Results,"
Shop No 15, Keshav Aaradhyam, Prominent Hotel Rd, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-29,382419,Standard,Cafe,Coffee Shop,23.1561948,72.589571
Results,"
Shop No 15, Keshav Aaradhyam, Prominent Hotel Rd, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-30,382419,Standard,Cafe,Coffee Shop,23.1561948,72.589571
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-31,382016,Standard,Cafe,Coffee Shop,23.2310212,72.5772793
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-32,382016,Standard,Cafe,Coffee Shop,23.2310212,72.5772793
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-33,382016,Standard,Cafe,Coffee Shop,23.2310212,72.5772793
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-34,382016,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-35,382016,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-36,382016,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-37,382016,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-38,382016,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-39,382016,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Plot No 438, GH Rd, opposite Gokul Dining Hall, Sector 16, Gandhinagar, Gujarat 382016",GAN-016-40,382016,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Elixir , PDPU, Raysan Rd, Gujarat International Finance Tec-City, Gandhinagar, Gujarat 382426",GAN-426-41,382426,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Elixir , PDPU, Raysan Rd, Gujarat International Finance Tec-City, Gandhinagar, Gujarat 382426",GAN-426-42,382426,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Elixir , PDPU, Raysan Rd, Gujarat International Finance Tec-City, Gandhinagar, Gujarat 382426",GAN-426-43,382426,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Elixir , PDPU, Raysan Rd, Gujarat International Finance Tec-City, Gandhinagar, Gujarat 382426",GAN-426-44,382426,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Elixir , PDPU, Raysan Rd, Gujarat International Finance Tec-City, Gandhinagar, Gujarat 382426",GAN-426-45,382426,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Elixir , PDPU, Raysan Rd, Gujarat International Finance Tec-City, Gandhinagar, Gujarat 382426",GAN-426-46,382426,Standard,Cafe,Coffee Shop,23.1743059,72.5537326
Results,"
Mapple 99, food county, Gujarat International Finance Tec-City, gandhinagar, Gujarat 382050",GAN-050-47,382050,Sweet,Cafe,Coffee Shop,23.1648742,72.6106442
Results,"
Mapple 99, food county, Gujarat International Finance Tec-City, gandhinagar, Gujarat 382050",GAN-050-48,382050,Sweet,Cafe,Coffee Shop,23.2046109,72.5114341
Results,"
Gate No.2, Karnavati University, B/H, Uvarsad, Gujarat 382422",GAN-422-49,382422,Standard,Cafe,Coffee Shop,23.2046109,72.5114341
Results,"
Gate No.2, Karnavati University, B/H, Uvarsad, Gujarat 382422",GAN-422-50,382422,Standard,Cafe,Coffee Shop,23.1849066,72.5594971
Results,"
Gate No.2, Karnavati University, B/H, Uvarsad, Gujarat 382422",GAN-422-51,382422,Standard,Cafe,Coffee Shop,23.1849066,72.5594971
Results,"
Gate No.2, Karnavati University, B/H, Uvarsad, Gujarat 382422",GAN-422-52,382422,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Sho No 74 block No C Pramukh Mastana complex, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-53,382419,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Sho No 74 block No C Pramukh Mastana complex, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-54,382419,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-55,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-56,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-57,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-58,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-59,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-60,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-61,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-62,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-63,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-64,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Shop no. 5, Shree status, SWAMINARAYAN MANDIR VASNA SANSTHA, road, near Ground floor, kudasan, Gandhinagar, Gujarat 382426",GAN-426-65,382426,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Shop no. 5, Shree status, SWAMINARAYAN MANDIR VASNA SANSTHA, road, near Ground floor, kudasan, Gandhinagar, Gujarat 382426",GAN-426-66,382426,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Shop no. 5, Shree status, SWAMINARAYAN MANDIR VASNA SANSTHA, road, near Ground floor, kudasan, Gandhinagar, Gujarat 382426",GAN-426-67,382426,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
A-37,38, Pramukh Arcade, Reliance Circle, Kudasan, Gandhinagar, Gujarat 382041",GAN-041-68,382041,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
A-37,38, Pramukh Arcade, Reliance Circle, Kudasan, Gandhinagar, Gujarat 382041",GAN-041-69,382041,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
A-37,38, Pramukh Arcade, Reliance Circle, Kudasan, Gandhinagar, Gujarat 382041",GAN-041-70,382041,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
